,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US",mm,yyyy
5000,2020M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,02,2020
5013,2019M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,175365.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.63,05,2019
5015,2019M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.08,01,2019
5017,2021M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"SYMMETRY ENERGY SOLUTIONS, LLC",DEFENSE LOGISTICS AGENCY,4.05,08,2021
5021,2017M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",8281.5,TANKNOLOGY INC.,"VETERANS AFFAIRS, DEPARTMENT OF",2.76,12,2017
5024,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
5027,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,243210.6,"DIRECT ENERGY BUSINESS MARKETING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.99,11,2017
5031,2019M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,108081.66,"TIGER NATURAL GAS, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.33,10,2019
5040,2021M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11250.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",5.11,09,2021
5050,2016M02,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSTALLATION OF EQUIPMENT- MISCELLANEOUS,19978.38,C.R. POWLESS & CO. LLC,U.S. COAST GUARD,1.96,02,2016
5053,2018M10,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,0.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.28,10,2018
5065,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,15000.0,"LEAK DETECTION SERVICE, INC.",DEPT OF THE ARMY,2.88,08,2017
5086,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,31750.91,"SAGE ENERGY TRADING, LLC",RAILROAD RETIREMENT BOARD,1.96,02,2016
5088,2020M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,02,2020
5090,2019M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,249309.18,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.22,08,2019
5093,2018M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,4.13,11,2018
5096,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,140999.54,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,3.28,10,2018
5100,2017M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEFENSE LOGISTICS AGENCY,3.08,04,2017
5105,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (ENGINEERING DEVELOPMENT),255850.0,"WHITSON CONTRACTING & MANAGEMENT, INC.",DEPT OF THE ARMY,2.96,09,2017
5111,2019M05,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,861835.79,"INTERCONN RESOURCES, LLC",NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,2.63,05,2019
5117,2018M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,1056174.28,"A-PLUS WELL SERVICE, INC.",BUREAU OF LAND MANAGEMENT,2.98,09,2018
5118,2017M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,6870.23,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.89,03,2017
5120,2018M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11969.55,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",4.13,11,2018
5141,2018M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4942.48,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,3.28,10,2018
5143,2020M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,2.54,12,2020
5146,2019M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,7809.76,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.36,07,2019
5154,2019M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,68535.2,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.63,05,2019
5159,2017M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,3940.12,"DESERT FUELS, INC.",DEPT OF THE ARMY,2.89,03,2017
5162,2020M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.03,01,2020
5167,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,09,2020
5171,2019M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,11,2019
5172,2019M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,30000.0,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.33,10,2019
5181,2016M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2746.16,LIQUIGAS SPA,DEPT OF THE ARMY,2.57,06,2016
5182,2021M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,20450.0,"MASS TANK INSPECTION SERIVICES, LLC",DEPT OF THE ARMY,3.23,06,2021
5184,2017M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,144383.25,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,2.89,03,2017
5199,2021M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",19316.5,"FLUID SOLUTIONS, LLC","STATE, DEPARTMENT OF",5.11,09,2021
5201,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,497800.32,"TIGER NATURAL GAS, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,3.28,10,2018
5206,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,547858.33,"TIGER NATURAL GAS, INC.",NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,2.96,09,2017
5213,2020M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.61,06,2020
5218,2019M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,201693.7,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.33,10,2019
5228,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,39902.43,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,3.58,12,2016
5231,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,307815.44,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.27,01,2016
5233,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.58,09,2019
5235,2020M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.25,10,2020
5240,2019M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PIPE, TUBING, HOSE, AND FITTINGS",24700.0,"NEIL NAKAI, INCORPORATED",DEPT OF THE ARMY,2.4,06,2019
5242,2020M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.75,05,2020
5244,2017M02,NATURAL GAS LIQUID EXTRACTION,FUEL OILS,6960.0,SLATER OIL COMPANY,INDIAN HEALTH SERVICE,2.82,02,2017
5247,2019M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.72,02,2019
5254,2020M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,02,2020
5257,2019M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.24,12,2019
5283,2016M11,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.5,11,2016
5285,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,20418.48,"TALEN ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.96,07,2017
5292,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,55590.96,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.12,05,2017
5294,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,74423.38,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.96,02,2016
5302,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,16724.06,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.7,03,2016
5304,2018M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,42247.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,3.86,01,2018
5314,2016M04,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",26619.03,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.9,04,2016
5318,2021M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.23,06,2021
5320,2021M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,4.05,08,2021
5326,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- ADMINISTRATIVE: OTHER,5402.64,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.97,09,2016
5328,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,0.0,"WEATHERFORD LABORATORIES, INC.",US GEOLOGICAL SURVEY,2.96,09,2017
5332,2019M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,218491.01,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.33,10,2019
5334,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2220.0,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.96,09,2017
5343,2020M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.03,01,2020
5347,2017M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,8099428.65,"WESTON SOLUTIONS, INC.",DEFENSE LOGISTICS AGENCY,2.76,12,2017
5351,2016M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,4676.75,"VIRGIN ISLANDS REGULATED WASTE MANAGEMENT, INC",DEPT OF THE ARMY,2.79,08,2016
5360,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
5374,2020M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.75,05,2020
5375,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",50000.0,"PRISM DESIGN & CONSTRUCTION, LLC",FEDERAL AVIATION ADMINISTRATION,2.96,09,2017
5379,2020M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,24949.25,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,1.74,07,2020
5386,2018M08,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",5200.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.96,08,2018
5391,2020M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"OTHER QC/TEST/INSPECT- FUELS, LUBRICANTS, OILS, AND WAXES",17078.07,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.59,11,2020
5392,2018M03,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",23800.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.7,03,2018
5395,2017M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,19022143.8,TETRA TECH-MAYTAG AIRCRAFT CORPORATION JOINT VENTURE,DEFENSE LOGISTICS AGENCY,2.76,12,2017
5423,2019M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,25758.87,GAS SOUTH LLC,FEDERAL LAW ENFORCEMENT TRAINING CENTER,2.63,05,2019
5426,2019M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY,2.94,03,2019
5431,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,04,2019
5433,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,37679.46,"TALEN ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.94,06,2017
5435,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,207987.32,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.79,07,2016
5437,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",0.0,INTERNATIONAL RESOURCES INC,DEFENSE LOGISTICS AGENCY,1.7,03,2016
5439,2021M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL STORAGE BUILDINGS,4000.0,"CLEAN FUELS ASSOCIATES, INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.61,04,2021
5442,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,415949.28,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.76,12,2017
5444,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,39110.48,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.96,09,2017
5446,2016M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1804.62,LIQUIGAS SPA,DEPT OF THE ARMY,2.79,07,2016
5453,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",1015223.06,HURTVET SUBCONTRACTING LLC,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,2.58,09,2019
5457,2020M01,NATURAL GAS EXTRACTION,SUPPORT- ADMINISTRATIVE: OTHER,7790205.14,"INTERAGENCY READINESS SOLUTIONS, LLC",DEPT OF THE ARMY,2.03,01,2020
5459,2021M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,155528.37,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,5.11,09,2021
5466,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,588.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
5469,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",0.0,"DELTA COALS, LLC",DEFENSE LOGISTICS AGENCY,1.9,04,2016
5471,2018M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,5198.17,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.96,08,2018
5481,2020M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,07,2020
5488,2018M03,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",18300.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.7,03,2018
5491,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,09,2020
5503,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2998.8,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,3.26,01,2017
5504,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,120000.0,AMEREN CORPORATION,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95,10,2016
5508,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,12369144.0,"DIRECT ENERGY BUSINESS MARKETING, LLC",PUBLIC BUILDINGS SERVICE,2.97,09,2016
5510,2018M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,169725.36,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.78,04,2018
5514,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,213130.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.79,07,2016
5519,2019M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,19990.0,"DELMAR SYSTEMS, INC.",BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,2.4,06,2019
5521,2020M12,NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,304032.84,MIDAMERICAN ENERGY COMPANY,BUREAU OF INDIAN AFFAIRS,2.54,12,2020
5522,2021M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,29977.79,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.67,01,2021
5526,2019M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,0.0,"DIRECT ENERGY BUSINESS MARKETING, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.33,10,2019
5528,2020M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,276670.76,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.03,01,2020
5534,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,61384.75,"INTERCONN RESOURCES, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.5,11,2016
5537,2017M01,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",2895.93,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,3.26,01,2017
5556,2019M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- WATER QUALITY,13499.46,"TEHAMA ENVIRONMENTAL CONSULTING SERVICES, LLC",BUREAU OF INDIAN AFFAIRS,2.24,12,2019
5561,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,8148.77,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,2.27,01,2016
5570,2019M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.24,12,2019
5587,2020M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,588.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,07,2020
5594,2019M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,19172.44,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.4,06,2019
5600,2019M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,24899.54,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.36,07,2019
5610,2021M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,42355.79,"FIRESIDE NATURAL GAS, LLC",FEDERAL LAW ENFORCEMENT TRAINING CENTER,3.8,07,2021
5612,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,244008.63,BP ENERGY COMPANY,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95,10,2016
5622,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"TIGER NATURAL GAS, INC.",DEFENSE LOGISTICS AGENCY,2.96,07,2017
5627,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,257757.7,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",3.28,10,2018
5633,2021M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.11,09,2021
5635,2017M08,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",4425.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.88,08,2017
5639,2020M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,04,2020
5644,2019M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.72,02,2019
5647,2018M11,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,4.13,11,2018
5651,2018M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,GASES: COMPRESSED AND LIQUEFIED,5957.24,AIRGAS USA LLC,DEPT OF THE NAVY,2.98,09,2018
5658,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),270867.0,"WYODAK ENERGY SERVICES, LLC",BUREAU OF LAND MANAGEMENT,2.96,09,2017
5661,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1099.08,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.96,07,2017
5663,2019M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,249189.45,"CENTERPOINT ENERGY SERVICES, INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.33,10,2019
5664,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,6101.3,"AMERESCO SELECT, INC.",DEPT OF THE ARMY,3.58,12,2016
5669,2020M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,294.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,04,2020
5686,2019M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4606.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.22,08,2019
5716,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1099.44,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.99,11,2017
5719,2019M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,136670.0,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,3.08,01,2019
5724,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,GASES: COMPRESSED AND LIQUEFIED,6911.8,AIRGAS USA LLC,DEPT OF THE NAVY,2.97,09,2016
