,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US",mm,yyyy
5257,2019M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.24,12,2019
5285,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,20418.48,"TALEN ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.96,7,2017
5292,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,55590.96,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.12,5,2017
5294,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,74423.38,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.96,2,2016
5302,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,16724.06,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.7,3,2016
5304,2018M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,42247,"AMERIGAS PROPANE, L.P.",OTHER,3.86,1,2018
5314,2016M04,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",26619.03,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.9,4,2016
5318,2021M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.23,6,2021
5326,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- ADMINISTRATIVE: OTHER,5402.64,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.97,9,2016
5332,2019M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,218491.01,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,2.33,10,2019
5334,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2220,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.96,9,2017
5343,2020M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.03,1,2020
5347,2017M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,8099428.65,"WESTON SOLUTIONS, INC.",OTHER,2.76,12,2017
5351,2016M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,4676.75,"VIRGIN ISLANDS REGULATED WASTE MANAGEMENT, INC",DEPT OF THE ARMY,2.79,8,2016
5360,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
5374,2020M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.75,5,2020
5375,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",50000,"PRISM DESIGN & CONSTRUCTION, LLC",OTHER,2.96,9,2017
5379,2020M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,24949.25,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,1.74,7,2020
5386,2018M08,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",5200,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.96,8,2018
5391,2020M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"OTHER QC/TEST/INSPECT- FUELS, LUBRICANTS, OILS, AND WAXES",17078.07,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.59,11,2020
5392,2018M03,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",23800,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.7,3,2018
5395,2017M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,19022143.8,TETRA TECH-MAYTAG AIRCRAFT CORPORATION JOINT VENTURE,OTHER,2.76,12,2017
5423,2019M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,25758.87,GAS SOUTH LLC,OTHER,2.63,5,2019
5431,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,4,2019
5433,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,37679.46,"TALEN ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.94,6,2017
5435,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,207987.32,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.79,7,2016
5439,2021M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL STORAGE BUILDINGS,4000,"CLEAN FUELS ASSOCIATES, INC.",OTHER,2.61,4,2021
5442,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,415949.28,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.76,12,2017
5444,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,39110.48,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.96,9,2017
5446,2016M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1804.62,LIQUIGAS SPA,DEPT OF THE ARMY,2.79,7,2016
5453,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",1015223.06,HURTVET SUBCONTRACTING LLC,OTHER,2.58,9,2019
5457,2020M01,NATURAL GAS EXTRACTION,SUPPORT- ADMINISTRATIVE: OTHER,7790205.14,"INTERAGENCY READINESS SOLUTIONS, LLC",DEPT OF THE ARMY,2.03,1,2020
5459,2021M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,155528.37,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,5.11,9,2021
5466,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,588,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
5471,2018M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,5198.17,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.96,8,2018
5481,2020M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,7,2020
5488,2018M03,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",18300,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.7,3,2018
5491,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,9,2020
5503,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2998.8,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,3.26,1,2017
5504,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,120000,AMEREN CORPORATION,OTHER,2.95,10,2016
5508,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,12369144,"DIRECT ENERGY BUSINESS MARKETING, LLC",OTHER,2.97,9,2016
5510,2018M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,169725.36,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.78,4,2018
5514,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,213130,"COLONIAL ENERGY, INC.",OTHER,2.79,7,2016
5519,2019M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,19990,"DELMAR SYSTEMS, INC.",OTHER,2.4,6,2019
5521,2020M12,NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,304032.84,MIDAMERICAN ENERGY COMPANY,OTHER,2.54,12,2020
5522,2021M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,29977.79,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.67,1,2021
5528,2020M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,276670.76,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.03,1,2020
5534,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,61384.75,"INTERCONN RESOURCES, LLC",OTHER,2.5,11,2016
5537,2017M01,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",2895.93,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,3.26,1,2017
5556,2019M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- WATER QUALITY,13499.46,"TEHAMA ENVIRONMENTAL CONSULTING SERVICES, LLC",OTHER,2.24,12,2019
5561,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,8148.77,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,2.27,1,2016
5587,2020M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,588,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,7,2020
5594,2019M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,19172.44,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.4,6,2019
5600,2019M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,24899.54,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.36,7,2019
5610,2021M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,42355.79,"FIRESIDE NATURAL GAS, LLC",OTHER,3.8,7,2021
5612,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,244008.63,BP ENERGY COMPANY,OTHER,2.95,10,2016
5627,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,257757.7,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,3.28,10,2018
5633,2021M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.11,9,2021
5635,2017M08,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",4425,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.88,8,2017
5639,2020M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,4,2020
5644,2019M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.72,2,2019
5651,2018M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,GASES: COMPRESSED AND LIQUEFIED,5957.24,AIRGAS USA LLC,OTHER,2.98,9,2018
5658,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),270867,"WYODAK ENERGY SERVICES, LLC",OTHER,2.96,9,2017
5661,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1099.08,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.96,7,2017
5663,2019M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,249189.45,"CENTERPOINT ENERGY SERVICES, INC.",OTHER,2.33,10,2019
5664,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,6101.3,"AMERESCO SELECT, INC.",DEPT OF THE ARMY,3.58,12,2016
5669,2020M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,294,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,4,2020
5686,2019M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4606,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.22,8,2019
5716,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1099.44,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.99,11,2017
5719,2019M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,136670,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,3.08,1,2019
5724,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,GASES: COMPRESSED AND LIQUEFIED,6911.8,AIRGAS USA LLC,OTHER,2.97,9,2016
5725,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",344370.65,"DELTA COALS, LLC",OTHER,2.79,7,2016
5737,2017M02,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,EDUCATION/TRAINING- VOCATIONAL/TECHNICAL,1000,DELTA LABORATORY TRAINING LLC,OTHER,2.82,2,2017
5739,2021M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,4.05,8,2021
5754,2021M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),25000,"OLGOONIK OILFIELD SERVICES, LLC",OTHER,5.11,9,2021
5786,2018M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,2805,MARCUM OIL CO INC,OTHER,2.95,6,2018
5791,2018M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,4.13,11,2018
5797,2019M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.08,1,2019
5801,2018M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,4.13,11,2018
5815,2020M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.25,10,2020
5817,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,190604.44,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,3.12,5,2017
5821,2018M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1091.83,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,4.13,11,2018
5826,2018M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,3000,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,3.86,1,2018
5836,2021M05,NATURAL GAS EXTRACTION,"INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, AIRBORNE",5716.32,TIME WARNER CABLE ENTERPRISES LLC,DEPT OF THE ARMY,2.89,5,2021
5850,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,9,2020
5851,2021M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,10432.24,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.67,1,2021
5852,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.58,9,2019
5855,2018M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,15050,"BLOUCH, GEORGE H. FUEL SERVICE, INC.",OTHER,3.98,12,2018
5860,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,772825.87,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,3.58,12,2016
5864,2020M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.75,5,2020
5869,2017M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- MANAGEMENT: DATA COLLECTION,24910,PAC SEIS,OTHER,2.94,6,2017
5874,2016M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS SHIP AND MARINE EQUIPMENT,9705.6,"MARINE EQUIPMENT, INC",OTHER,1.7,3,2016
5880,2019M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,3188.78,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.94,3,2019
5883,2020M11,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,30717.7,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.59,11,2020
5891,2016M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2668.8,LIQUIGAS SPA,DEPT OF THE ARMY,1.7,3,2016
5897,2021M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11550,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",4.05,8,2021
5902,2019M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.36,7,2019
5905,2021M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.61,4,2021
5920,2016M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,15275.58,MIDLAND SERVICES INC,OTHER,3.58,12,2016
5922,2020M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.03,1,2020
5924,2019M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,247602.37,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.94,3,2019
5926,2019M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.08,1,2019
5940,2016M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2366.63,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.95,10,2016
5941,2017M05,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",11473,ROGERS PETROLEUM INC.,OTHER,3.12,5,2017
5945,2017M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1159.93,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.76,12,2017
5953,2019M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.72,2,2019
5955,2018M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"EQUIPMENT AND MATERIALS TESTING- FUELS, LUBRICANTS, OILS, AND WAXES",21575,"BRIARWOOD CONTRACTORS, INC.",DEPT OF THE ARMY,2.78,4,2018
5959,2021M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,14995.12,AANTILIA LLC,OTHER,2.56,3,2021
5978,2021M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),208971,"CONTINENTAL INDUSTRIES FIELD SERVICES, LLC",OTHER,5.11,9,2021
5985,2021M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,20359.2,YORKSHIRE INDUSTRIES LLC,DEPT OF THE ARMY,3.8,7,2021
5996,2019M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,34396.17,"TIGER NATURAL GAS, INC.",OTHER,2.24,12,2019
5998,2019M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.94,3,2019
6003,2020M04,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,19576.83,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,1.74,4,2020
6006,2021M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),50000,"DRILLING INFO, INC.",OTHER,4.05,8,2021
6007,2019M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,150960.08,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.72,2,2019
6009,2018M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,50413.03,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,3.86,1,2018
6012,2021M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,169700,CLIFFSIDE REFINERS L P,OTHER,4.05,8,2021
6025,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,R&D- ENERGY: PETROLEUM (BASIC RESEARCH),285000,BOURGOYNE ENGINEERING LLC,OTHER,2.79,7,2016
6033,2019M06,NATURAL GAS EXTRACTION,UTILITIES- GAS,101004.37,"CENTERPOINT ENERGY SERVICES, INC.",OTHER,2.4,6,2019
6035,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,26330.13,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.97,9,2016
6046,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
6047,2020M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT LAUNCHING, LANDING, AND GROUND HANDLING EQUIPMENT",3950,"CITI APPROVED ENTERPRISE, LLC",OTHER,2.3,8,2020
6063,2020M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,7,2020
6083,2019M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.08,1,2019
6084,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,9,2020
6087,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,9,2020
6089,2017M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,824683.16,"WGL ENERGY SERVICES, INC.",OTHER,2.89,3,2017
6093,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,5,2019
6099,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,109737.53,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,2.95,10,2016
6103,2018M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,4.13,11,2018
6114,2020M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.3,8,2020
6128,2016M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,50000,"AMERIGAS PROPANE, L.P.",OTHER,2.79,7,2016
6130,2019M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,IRON AND STEEL PRIMARY AND SEMIFINISHED PRODUCTS,58535,"HENRY PRODUCTION, INC.",OTHER,2.22,8,2019
6136,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,5,2019
6142,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,195036.79,"SAGE ENERGY TRADING, LLC",OTHER,1.9,4,2016
6150,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,6967.1,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.99,11,2017
6156,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,LUBRICATION AND FUEL DISPENSING EQUIPMENT,2641.16,"QB FUELING, LLC",OTHER,2.96,9,2017
6158,2018M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,194718.87,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.78,4,2018
