total_obligated_amount,Month,product_or_service_code_description,naics_description,recipient_name,funding_sub_agency_name
42016.97,2018M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,R & L TRANSPORT COMPANY,U.S. FISH AND WILDLIFE SERVICE
612000.0,2020M04,ORES,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"TARPAN CONSTRUCTION, LLC",DEPT OF THE ARMY
4307.0,2016M06,EARTH MOVING AND EXCAVATING EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
98.0,2019M04,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
21000.0,2019M07,MARINE HARDWARE AND HULL ITEMS,NATURAL GAS EXTRACTION,"REIMEL MACHINE, INC.",DEPT OF THE NAVY
659.44,2020M08,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
3735.86,2016M06,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",DIMENSION STONE MINING AND QUARRYING,"RICHARD J. MERTENS, INC.",DEPT OF THE ARMY
400.0,2019M10,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"HIIESALU, ALAN J",DEFENSE LOGISTICS AGENCY
17397.42,2020M01,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY
324848.5,2018M08,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"HAZ-TECH DRILLING, INC.",FEDERAL HIGHWAY ADMINISTRATION
9905.07,2021M09,MAINTENANCE OF FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
36611.19,2021M03,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
12089.0,2021M09,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
8978.4,2019M01,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,DEPT OF THE ARMY
980.0,2019M04,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
5430.0,2020M05,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
11746.0,2018M10,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
1514.85,2020M11,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
14512.5,2016M07,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,GMS INTERNATIONAL CORPORATION,DEFENSE LOGISTICS AGENCY
2663.1,2019M01,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
18342.5,2021M08,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,CONSTRUCTION SAND AND GRAVEL MINING,"GOLDEN ALASKA EXCAVATING, LLC",U.S. COAST GUARD
7001.12,2017M01,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,LYNCH CREEK QUARRY LLC,NATIONAL PARK SERVICE
15090.0,2019M08,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,H J DEVELOPMENT ENGINEERS AND CONSUTANTS LIMITED,AGENCY FOR INTERNATIONAL DEVELOPMENT
5601.66,2016M01,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
1385.02,2018M08,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
743026.05,2017M09,"MINERALS, NATURAL AND SYNTHETIC",ALL OTHER METAL ORE MINING,"G.E. CHAPLIN, INC",DEFENSE LOGISTICS AGENCY
323600.0,2016M07,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
0.0,2017M08,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,SYOUKANKYOU KENSETSU COMPANY,DEPT OF THE NAVY
1325.7,2019M01,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"J.G.B. ENTERPRISES, INC.",DEFENSE LOGISTICS AGENCY
5500.0,2017M02,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,CONSTRUCTION SAND AND GRAVEL MINING,STEVENSON SAND INC,U.S. COAST GUARD
16824.39,2018M02,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",CONSTRUCTION SAND AND GRAVEL MINING,N R HAMM CONTRACTOR INC,DEPT OF THE ARMY
124.0,2017M10,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,GASKETS ORINGS RUBBER INC,DEFENSE LOGISTICS AGENCY
10575.23,2021M04,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
137.85,2018M10,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
19303.0,2018M01,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,ANNA QUARRIES INC,U.S. FISH AND WILDLIFE SERVICE
17076.5,2021M08,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
20187.21,2018M12,MISCELLANEOUS CHEMICAL SPECIALTIES,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,"GREENWAY PRODUCTS, INC.",DEPT OF THE ARMY
4995.0,2020M09,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"J L UNRUH, LLC",NATIONAL PARK SERVICE
3401.75,2020M01,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
32.72,2016M08,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"ROCKLAND, INC.",DEFENSE LOGISTICS AGENCY
40201.6,2020M03,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
14065.65,2020M03,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"L. L. CARTER & SON, INC.",DEPT OF THE ARMY
247921.8,2017M09,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
1752.44,2018M10,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2017M09,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
91200.0,2020M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,SS EXCAVATION LLC,BUREAU OF LAND MANAGEMENT
96000.0,2019M09,MISCELLANEOUS CONSTRUCTION MATERIALS,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"SPECIALIZED GOVERNMENT SOURCING, INC.",BUREAU OF LAND MANAGEMENT
196.0,2019M05,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
15000.0,2019M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
0.0,2019M01,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,WFM MANUFACTURING & SUPPLY INC,DEFENSE LOGISTICS AGENCY
37950.0,2017M04,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"STRUCTURAL HARDWARE AND SUPPLY, INC.",U.S. FISH AND WILDLIFE SERVICE
3360.0,2018M06,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
0.0,2016M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"HINKLE CONTRACTING COMPANY, LLC",DEPT OF THE ARMY
7740.0,2017M03,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"RIVER PRODUCTS COMPANY INCORPORATED, THE",U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
800000.0,2018M03,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"WGL ENERGY SERVICES, INC.",U.S. COAST GUARD
654676.0,2017M03,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"HAZ-TECH DRILLING, INC.",FEDERAL HIGHWAY ADMINISTRATION
8616.36,2016M11,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
25363.0,2017M07,REPAIR OR ALTERATION OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,CONSTRUCTION SAND AND GRAVEL MINING,JE HURLEY INC.,NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION
2889.0,2019M11,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"WALZ & KRENZER, INC.",DEFENSE LOGISTICS AGENCY
5601.2,2018M05,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
230.48,2020M01,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
6475.0,2018M02,SCAFFOLDING EQUIPMENT AND CONCRETE FORMS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
700000.0,2021M03,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,,U.S. COAST GUARD
0.0,2021M04,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"SYMMETRY ENERGY SOLUTIONS, LLC",DEFENSE LOGISTICS AGENCY
526.5,2019M12,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,AM-MAC INCORPORATED,DEFENSE LOGISTICS AGENCY
1125.0,2017M12,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,TRIMAN INDUSTRIES INC,DEFENSE LOGISTICS AGENCY
290.0,2020M07,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,JAMAICA BEARINGS CO. INC.,DEFENSE LOGISTICS AGENCY
0.0,2017M07,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"IGI RESOURCES, INC.",DEFENSE LOGISTICS AGENCY
3585.78,2017M06,CHEMICALS,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY
24072.0,2021M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,PATRICK ENVIRONMENTAL GROUP,U.S. FISH AND WILDLIFE SERVICE
1690.0,2017M06,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,GECOBA,DEPT OF THE AIR FORCE
409.96,2018M06,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2019M08,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",NATURAL GAS LIQUID EXTRACTION,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY
40260.0,2018M07,"MINERALS, NATURAL AND SYNTHETIC",CONSTRUCTION SAND AND GRAVEL MINING,W T B INC,NATIONAL PARK SERVICE
34916.32,2016M09,ARCHITECT AND ENGINEERING- CONSTRUCTION: MAINTENANCE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
256300.0,2018M07,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"WARREN TRANSPORT, INC.",BUREAU OF RECLAMATION
112.75,2020M05,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,PRO STEEL,DEFENSE LOGISTICS AGENCY
11984.0,2017M05,CHEMICALS,ALL OTHER NONMETALLIC MINERAL MINING,MATERION ADVANCED CHEMICALS INC.,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION
1282.6,2019M09,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2021M07,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"J.D.A MARITIME, INC",DEFENSE LOGISTICS AGENCY
7327.32,2019M02,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
120.0,2018M02,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,UNICORP,DEFENSE LOGISTICS AGENCY
150.6,2018M10,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
6030.0,2016M09,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,GOLDMAN AND ASSOCIATES,DEFENSE LOGISTICS AGENCY
26968.67,2020M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"CROWLEY HOLDINGS, LLC",NATIONAL PARK SERVICE
98.0,2019M06,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
114552.38,2019M08,MISCELLANEOUS CONSTRUCTION EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,ACOM,DEPT OF THE ARMY
27702.68,2018M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,FOREST SERVICE
0.0,2019M02,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"J.G.B. ENTERPRISES, INC.",DEFENSE LOGISTICS AGENCY
25000.0,2020M07,"MAPS, ATLASES, CHARTS, AND GLOBES",SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"NUKA RESEARCH AND PLANNING GROUP, LLC",U.S. COAST GUARD
317.9,2016M08,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,R WAY GASKET & SUPPLY COMPANY INC,DEFENSE LOGISTICS AGENCY
855.19,2018M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"JUSTICE TRUCKING AND BACKHOE SERVICE, INC.",NATIONAL PARK SERVICE
5289.84,2020M01,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"GENERAL DYNAMICS-OTS, INC.",DEFENSE LOGISTICS AGENCY
7168.4,2019M10,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2016M09,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"PALMERTON & PARRISH, INC.",U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
98.0,2019M05,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
8475.0,2017M11,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"BUYER SOLUTIONS, LLC",NATIONAL PARK SERVICE
98.0,2020M08,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
0.0,2017M09,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
100.0,2019M02,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,WESCO AIRCRAFT HARDWARE CORP.,DEFENSE LOGISTICS AGENCY
248763.0,2018M12,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"PROJECT SERVICES INTERNATIONAL CORPORATION, INC.","STATE, DEPARTMENT OF"
71615.41,2016M06,CONSTRUCTION OF FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
0.0,2019M01,FUEL OILS,NATURAL GAS EXTRACTION,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
83461.64,2018M07,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"LYNCH CONSTRUCTION COMPANY, INC.",FOREST SERVICE
2657.88,2020M10,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2019M11,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
98.0,2019M02,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
8405.0,2017M02,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
22914.76,2017M08,"MINERALS, NATURAL AND SYNTHETIC",CONSTRUCTION SAND AND GRAVEL MINING,"STRUCTURAL HARDWARE AND SUPPLY, INC.",NATIONAL PARK SERVICE
11146.0,2017M02,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",NATURAL GAS LIQUID EXTRACTION,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
166.4,2020M11,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,ALLIED TOOLS INC.,DEFENSE LOGISTICS AGENCY
3766.5,2021M06,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
18828.0,2018M04,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"MEGGITT DEFENSE SYSTEMS, INC.",DEFENSE LOGISTICS AGENCY
359177.9,2021M01,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY
775.17,2018M05,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,RAILWAY SPECIALTIES CORPORATION,DEFENSE LOGISTICS AGENCY
10644.02,2018M10,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
0.0,2017M06,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,KLA CONSTRUCTION SERVICE LLC,DEPT OF THE ARMY
11475.0,2019M03,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MILLER MATERIALS, INC.",DEPT OF THE ARMY
315000.0,2016M06,"FOUNDRY MACHINERY, RELATED EQUIPMENT AND SUPPLIES",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,NEW EMPIRE AGGREGATE,BUREAU OF RECLAMATION
98.0,2018M12,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
3200.34,2020M07,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2017M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,ECOLOGY MIR GROUP LLC,U.S. FISH AND WILDLIFE SERVICE
24299.55,2019M04,MISCELLANEOUS CONSTRUCTION EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,SY TRADE,DEPT OF THE ARMY
5653.35,2020M01,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
12254.16,2018M04,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,DEFENSE LOGISTICS AGENCY
574.6,2019M02,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
68088.06,2020M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"BOXLEY AGGREGATES OF WEST VIRGINIA, L.L.C.",FOREST SERVICE
9600.0,2016M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,BERGER ENTERPRISES LLC,"ENERGY, DEPARTMENT OF"
633.45,2016M10,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
82050.0,2021M08,MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT,BITUMINOUS COAL UNDERGROUND MINING,DRY SYSTEMS TECHNOLOGIES LLC,CENTERS FOR DISEASE CONTROL AND PREVENTION
300000.0,2020M10,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",CONSTRUCTION SAND AND GRAVEL MINING,"WHETROCK, INC.",U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
38507.04,2016M08,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
0.0,2017M09,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
15238.36,2018M08,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"ECI DEFENSE GROUP, INC.",DEFENSE LOGISTICS AGENCY
8609.12,2018M07,CONSTRUCTION OF OFFICE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
29338.18,2020M11,UTILITIES- GAS,NATURAL GAS EXTRACTION,"INTERCONN RESOURCES, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
0.0,2020M10,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEFENSE LOGISTICS AGENCY
18072.48,2017M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"HOLE PRODUCTS, LLC",US GEOLOGICAL SURVEY
